COUNTRY,GENDER,ENJMATH,PARENJMATH,WEALTH,TEACHERCLASSMANAG,COGNITIVEACTIV,TEACHSTUDRELAT,PV1MATH,PV2MATH,PV3MATH,PV4MATH,PV5MATH
United Arab Emirates,Female,Agree,Agree,1.42,0.484,0.4142,0.1593,341.5719,348.5823,335.3404,343.9087,324.4353
United Arab Emirates,Female,Agree,Strongly agree,1.99,0.2299,0.4142,0.0111,369.8473,388.5418,321.5532,374.52099999999996,351.1528
United Arab Emirates,Female,Agree,Agree,0.67,0.484,0.4532,-0.0524,377.1693,296.9388,363.1485,307.8439,328.8752
United Arab Emirates,Male,Disagree,Agree,0.67,0.0505,0.3058,0.0809,462.7746,469.0061,480.6901,441.7433,468.2271
United Arab Emirates,Male,Strongly agree,Agree,1.42,0.484,0.3769,0.6209,462.0735,486.2206,483.1048,477.6523,466.7472
United Arab Emirates,Male,Disagree,Agree,0.67,-0.3069,-0.0913,-2.0157,493.6984,520.1823,509.2771,485.909,454.7515
United Arab Emirates,Male,Agree,Strongly agree,0.67,-0.3798,0.2055,-0.1113,545.4977,581.3289,575.0974,559.5186,479.2881
United Arab Emirates,Male,Agree,Agree,0.11,-0.9781,-0.1659,-1.3056,458.9578,456.621,479.9891,480.76800000000003,497.9047
United Arab Emirates,Male,Strongly disagree,Agree,-0.61,-0.237,-0.0219,-0.3303,394.4618,385.1145,392.9039,421.7246,441.9769
United Arab Emirates,Male,Disagree,Agree,1.0,0.2299,0.6838,0.1593,633.7514,629.0777,569.8785,600.257,644.6565
United Arab Emirates,Male,Strongly disagree,Agree,1.0,-0.5455,-0.1278,-0.5138,448.2084,501.9551,441.19800000000004,477.8081,493.3868
United Arab Emirates,Male,Strongly agree,Strongly agree,-0.61,0.0505,0.6838,0.0809,494.2437,464.644,519.9486,537.0852,546.4325
United Arab Emirates,Male,Agree,Strongly agree,0.67,0.669,0.6838,0.1593,563.4133,543.9399,525.2454,563.4133,531.4769
United Arab Emirates,Female,Strongly agree,Strongly agree,0.67,0.669,0.7405,1.0099,417.9078,415.57099999999997,426.4761,379.7398,363.3821
United Arab Emirates,Female,Disagree,Strongly agree,1.99,0.484,0.8023,0.3536,440.2633,462.8525,465.1893,428.5792,422.3477
United Arab Emirates,Male,Agree,Strongly agree,0.37,0.2299,0.4532,1.0099,692.7948,665.5319999999999,658.5216,714.6051,663.9741
United Arab Emirates,Male,Strongly agree,Strongly agree,-1.06,0.2299,1.3374,0.6209,534.7484,530.0748,552.664,526.1801,546.4325
United Arab Emirates,Male,Strongly agree,Strongly agree,-0.38,0.1346,0.494,0.3536,550.1714,552.5082,564.1922,578.2131,521.3507
United Arab Emirates,Female,Strongly disagree,Disagree,0.67,-0.237,-0.623,0.0809,424.9961,460.8272,382.1545,472.5113,432.0065
United Arab Emirates,Female,Strongly agree,Disagree,-0.14,0.3431,0.537,0.0439,420.7898,357.6959,381.064,418.45300000000003,411.4426
United Arab Emirates,Female,Disagree,Agree,1.42,-0.237,0.2055,-0.387,351.9318,397.1101,394.7733,421.2572,415.0257
United Arab Emirates,Female,Agree,Agree,0.11,0.484,0.1409,0.3536,285.3326,344.5319,284.5537,347.6476,340.6372
United Arab Emirates,Female,Agree,Agree,-1.51,0.669,0.2717,1.0099,449.8442,427.255,434.2655,427.255,435.0444
United Arab Emirates,Female,Disagree,Strongly agree,3.09,0.669,0.537,0.1593,281.36,290.7073,282.139,268.1181,358.4748
United Arab Emirates,Female,Strongly agree,Strongly agree,3.09,0.9208,0.4532,1.0099,475.5492,459.9704,438.1601,460.7493,425.6971
United Arab Emirates,Female,Strongly disagree,Strongly disagree,1.88,-0.0262,0.8023,0.7959,353.4896,390.0997,407.2363,386.98400000000004,344.1424
United Arab Emirates,Female,Strongly agree,Agree,1.99,-0.237,0.0114,-0.387,389.0092,419.3878,415.4931,422.5035,386.6724
United Arab Emirates,Female,Agree,Agree,1.99,-0.1679,-0.0219,-0.1673,404.7437,365.0179,410.1963,428.1119,393.0597
United Arab Emirates,Female,Strongly agree,Agree,0.11,0.0505,0.3408,0.3536,468.2271,458.8799,468.2271,469.0061,465.8903
United Arab Emirates,Female,Disagree,Strongly agree,-0.84,0.669,0.8023,0.6209,423.2045,371.0157,409.1837,404.51,378.8051
United Arab Emirates,Female,Disagree,Strongly agree,0.37,0.0505,0.3408,-0.2217,567.2301,517.3781,534.5147,528.2832,529.0622
United Arab Emirates,Female,Agree,Strongly disagree,0.37,-1.3537,-1.5051,-0.8079,410.5858,440.1854,433.1749,405.9121,433.9539
United Arab Emirates,Female,Agree,Strongly agree,-1.51,-1.3537,-0.0219,-1.3056,365.719,430.3708,394.5396,378.9609,419.4656
United Arab Emirates,Female,Strongly agree,Strongly agree,0.37,0.1346,0.537,0.2492,424.0614,430.2929,448.2084,434.9665,431.8508
United Arab Emirates,Female,Disagree,Strongly disagree,0.67,-0.0983,0.1409,0.1593,420.0109,386.5166,382.6219,384.1798,362.3695
United Arab Emirates,Female,Disagree,Strongly disagree,0.67,-0.7808,-1.5051,-0.8079,322.3321,384.6471,347.2581,361.279,349.595
United Arab Emirates,Female,Disagree,Agree,1.0,0.1346,0.5827,0.6209,263.9118,365.9526,271.7012,352.7107,316.8796
United Arab Emirates,Female,Agree,Agree,0.37,-0.0262,0.2055,-0.1113,308.8565,320.5406,320.5406,263.6781,284.7095
United Arab Emirates,Female,Agree,Agree,0.37,0.484,0.1731,1.0099,298.4967,340.5593,333.5488,316.4122,307.065
